userId,nickName,date,score,city,comment
667042107,因为孟小豪,2018-08-14,4,北京,挺好看的 。。。。。。。
153013863,神探狗的小姐姐,2018-08-14,4,运城,总得还说还可以吧
210565591,小笼包QX,2018-08-14,5,杭州,好看，值得拥有
271034641,mLX618205126,2018-08-14,5,西安,喜欢黄渤☺☺☺
139098453,H花儿开了,2018-08-14,4.5,济南,人性终会打败贪婪的心魔
74606799,小柳子0921,2018-08-14,5,通辽,真心不错！值得看！
761612545,纯桑.,2018-08-14,4,南昌,剧情奇葩，个人不是很喜欢。不过黄渤舒淇宝宝的演技很好！
110198574,scjscj123,2018-08-14,4,三门峡,电影拍的还不错。
884198828,AQB343317616,2018-08-14,5,洛阳,一座孤岛，一个社会，一出好戏。
193028671,xrd56073351,2018-08-14,2.5,无锡,一般不大喜欢
258250424,XpZ857863059,2018-08-14,5,南京,没看呢，看评论很好看，想象中由黄渤导演并演出一定很漂亮！
776117546,mov121018451,2018-08-14,4,菏泽,还可以吧，有时间都可以去看看，比较励志的一部电影
878835749,胖次哒哒哒,2018-08-14,5,东阳,真的很满意，这部电影看了非常触目惊心，反省社会现实人性吧！超喜欢黄渤！还有那些水军麻烦死开一点，不要毁了这部巨作了
443607163,孽丶恋乀,2018-08-14,3.5,珠海,还错吧！！！
28439413,牛奶与咖啡811,2018-08-14,5,襄阳,主演全都演技在线，有些荒诞又引人思考的故事。
48557577,fly0123宝贝,2018-08-14,4.5,上海,众生百态，各自为安
309457070,仙女边123,2018-08-14,5,锦州,还可以，没有想象中的那么好
72088031,dongzhao53,2018-08-14,4,哈尔滨,黄渤自导自演的片子，情节令人惊喜，不错
171121108,星o3o,2018-08-14,5,德阳,挺好看的，比较有深意
673136870,我爸嫌我丑,2018-08-14,5,北京,超级棒超级好，舒淇太美了，景色太漂亮了
655418586,Lok315585183,2018-08-14,3.5,杭州,具体不是喜剧 而是人性的一部片子
181110326,LcH139858983,2018-08-14,5,南京,还不错 彩蛋没看到
209924420,我是刘筱宝,2018-08-14,4,宿州,该电影揭露了在遇到困难时人心善良与丑恶 还是不错的
173022321,Yaa210102876,2018-08-14,5,随州,喜欢王宝强乐呵呵
1000524581,轩儿丷,2018-08-14,5,迁安,值得一看。。
74106896,亭亭丶民,2018-08-14,5,北京,比较有深意！人性最真实的一面、道德的底线和选择！
165852516,AYc617587571,2018-08-14,5,鄂尔多斯,可惜飞机晚点了，没来得及看到，支持渤哥
15774324,_qqs481319289996,2018-08-14,4,深圳,冲着黄渤去的，电影有点拖沓，黄渤做演员10分，做导演还差点。有点失望。
152905612,土豆土豆芽芽,2018-08-14,5,包头,一部有深度的电影！
204831285,iwy577393849,2018-08-14,5,胶州,非常不错，黄渤出品，必属精品
66098560,zHx461993383,2018-08-14,0.5,深圳,一出烂戏，整个剧情啰嗦重复，内容乏味，导演功底之差令人咋舌。   剧组为了节约成本也是拼了，可见黄渤导演的小气，隔着屏幕都能感觉到他这只铁公鸡油的发毛样子。
354032128,rAW743209505,2018-08-14,4,昆山,上半场还行，下半场睡觉，纯粹是冲着小渤去的
128379186,th信任,2018-08-14,5,西安,好看看好好看
458751357,Melody4849,2018-08-14,4.5,海口,还不错，挺好看的
1153280759,wed499348095,2018-08-14,1.5,温州,感觉意不应提
770296962,zHY750817380,2018-08-14,5,北流,看了好久，看不通
373266358,古力熙,2018-08-14,2.5,合肥,失望，可能是期望太高。内容一般，突出人性但实在无聊，不是主演演技好，真是看不下去
301261410,W1886683,2018-08-14,5,济南,好。。。。。。。
457007802,虎啸苍云,2018-08-14,5,益阳,电影非常好！
10526900,dingdingpray,2018-08-14,5,青岛,因为喜欢黄渤而看的，不过真的有些失望啊
619868850,是woll,2018-08-14,4,章丘区,不错的电影。
181303596,ATBR,2018-08-14,5,东港,不错值得推荐
1764770488,F苦鬼,2018-08-14,3.5,通榆县,还可以吧，不算是喜剧应该算是情景剧，挺有深意的
29442099,紫陌暹罗,2018-08-14,4.5,海口,这是一部惊悚电影，也是一部寓言电影；还是一部极简经济学电影。如果你说它是仅仅是一部不咋好笑的喜剧，那就太委屈它了。
118433656,辉驭,2018-08-14,4.5,潍坊,还可以，继续努力
102896598,司徒幽若,2018-08-14,3,昆明,反正我个人觉得不好看
48128122,琳琳杳杳2,2018-08-14,5,淮安,非常好看!!
376032907,岑南_,2018-08-14,5,郑州,剧情很不错！
248213216,游不过你心海,2018-08-14,5,南京,好看明天再来看一次
504376877,PiuPiuPiu0,2018-08-14,4,沈阳,还行吧，感觉没啥意思
35673890,luckywgc,2018-08-14,4,西安,反应这个年代真实的社会人心。
196636070,淑悦GongYoo,2018-08-14,3,费县,没期待中那么好
7578444,小柯最美丽,2018-08-14,3.5,唐山,还可以吧，说不上特别好，也不差
83435187,WZb456301912,2018-08-14,3.5,西安,还行吧，昂。
21033354,jessie.kang,2018-08-14,4.5,深圳,感觉还不错，对人性的揣测拿捏的很好
1008015450,Tqs647289114,2018-08-14,4.5,北京,不是太明白，但是人性在这部片子里体现的淋漓尽致，人类的未来是真善美，一味地野性释放到底是什么，人类太贪婪，人性太贪婪，未来是什么，没人知道，只知道人的社会太复杂，人太累！！！
533453815,nyB697925587,2018-08-14,0,无锡,还可以、不太十分震撼
128661575,剩了个猫咪妮,2018-08-14,3.5,鄂尔多斯,笑点挺多的，原以为就是轻松的戏剧，没想到是人性的思考。挺好的
803827749,Iam小姐姐,2018-08-14,4,深圳,还行吧…………
269487097,VvM374386972,2018-08-14,3,光山县,说实话，没有看懂
195493495,樂大偉,2018-08-14,5,汕头,我是觉得非常可以，看着有劲！
60201293,草莓味呵阿司匹林,2018-08-14,2.5,大连,（＃－.－）节奏拖，人设偏，反转太快像话剧，不像电影，剧情。。。。完全看不懂，总感觉表达找不到重点，什么都想说，啥都没说清楚。
228471241,女王,2018-08-14,4.5,宜都,一出好戏：：：
177601006,小喵咪喵,2018-08-14,5,九江,电影不错，值得看看
764434197,sXM427061815,2018-08-14,5,辽阳,很真实，大家看的很入神   黄渤导的戏不会错
46565731,zdh168152478,2018-08-14,3,乳山,电影院里很冷
375833771,阿虎小贩,2018-08-14,4.5,盐城,黄渤电影一贯风格
434802822,ecJ908745835,2018-08-14,4,南京,好笑的片子。
138911675,zk28626185,2018-08-14,5,北京,整体很不错 感觉结局差强人意 9分值得，
81099988,青春一直在路上go,2018-08-14,5,济源,好看 强烈安利
92165228,马行天下有酒有肉,2018-08-14,4.5,中牟,黄渤很用心，艺兴表现惊艳，值得一看
1114365466,哈哈，哥有老婆了,2018-08-14,5,泉州,完美的很。。。
72165534,萍凡1977,2018-08-14,5,徐州,搞笑的，还不错
93666805,yxd35692563,2018-08-14,5,合肥,电影不错，值得观看
910385972,NsD506962232,2018-08-14,5,合肥,好看。。。。。。
1064872277,Z98305,2018-08-14,4.5,吉林,有一些人性的思考。真实。最后的结尾还是回归了主旋律，如果更加黑化一点，或许更有深度。
759295653,Qih496190097,2018-08-14,5,烟台,好看，值得看看
1008136877,LNU562027628,2018-08-14,5,青岛,渤哥太牛逼了
750764451,LIP770659411,2018-08-14,3.5,盖州,不错的一部电影，把人心很淋漓尽致的体现出来了
2553409,Sarah喻,2018-08-14,3,南通,期待值较高，看完以后就觉得还好，剧情不够精彩
586142251,秦雨1026,2018-08-14,3.5,南京,以为是喜剧片……旁边小孩儿吓得不敢看……
325946759,CuK361127384,2018-08-14,4.5,昆明,一出好戏，但没演到最后，人生逆袭不易啊
474586101,MKN150573318,2018-08-14,4,西安,总体来说还是不错的，笑点挺多也算良心剧👍👍
630898818,Mry805519019,2018-08-14,3.5,阜阳,社会制度的更替，可以看得出三位领导人代表着三个社会形态。从封建君主专政到资本主义社会再到社会共产主义。所以，你们懂得，最后还是社会共产主义好啊。再有就是文明的演变。这个岛上是一个浓缩实验，虽然很多人说这里有也有人性的暴露，但是我认为这点人性揭露根本就不够。真正的人会比这更黑暗，要知道人在绝望的过程中什么事都会做得出来的。如果再黑暗一点，估计广电过审也会麻烦。为什么只给七分，因为我感觉这里面总是或多或少的缺少了一点什么，逻辑也有点不合常理，再有就是广告植入太强硬，跟电影里面的人物所处的环境大大违背。总体来说，这部电影还是不错的，只是黄渤这次做的比较大，想融入的东西太多，以至于有些细节可能处理不当
60521937,大财神,2018-08-14,5,黄石,感觉还不错，对得起票价
165817510,ymz399810316,2018-08-14,3.5,广州,还好，有点长了
773094394,LQK658950850,2018-08-14,5,秦皇岛,很好看的呦。
371220541,微微一笑很温婉,2018-08-14,4.5,定西,挺好看，喜欢黄渤舒淇，支持支持
158910688,wuyedidi,2018-08-14,1.5,九江,以为好看，结果浪费我50多元。
399624952,yingke1995,2018-08-14,5,武汉,"非常好的电影！黄渤很攒！永远支持！十分好评！

可恶的是王家湾天河电影院排片**是不是有毛病！
一出好戏排片都是几十人的小影厅，票都抢不到，故意的吗？
**垃圾爱情公寓电影排片都是大影厅，但是没有几个人看，这不是浪费资源吗?
电影院方是不是故意针对黄渤，有毛病！
吃💩了吗？
CN吗
垃圾王家湾天河影院！！！"
1048390773,NJL564785818,2018-08-14,4.5,赣州,很现实，引人深思，人的私欲太可怕.但电影有些无厘头，而且部分表演和剧情略显尴尬
321979588,繁星如你0310,2018-08-14,5,巴彦淖尔,非常好！！！
172643737,小e苏苏,2018-08-14,2.5,广州,还好啊，剧情有点假
247087577,落叶k,2018-08-14,4,西安,一般吧，比期望的要差点
55312413,jay277,2018-08-14,4,鞍山,感受就是，演员演出还算到位，剧情有瑕疵，不过可以接受，张艺兴演技可以，在磨练几年就更好了
921842359,是希。,2018-08-14,4,沧州,不错。。。。
42480240,RebeccaSRL,2018-08-14,4,杭州,挺好的，通俗易懂亲民
308754116,若即i若离,2018-08-14,5,渭南,还不错，挺好笑
1031267979,uys138917954,2018-08-14,5,宁波,这部电影很好，看在这部电影的时候，我感受到了人性的美好和丑恶。有笑点有感动，非常喜欢
176568235,WdJ746055433,2018-08-14,4.5,南昌,好深的一出好戏
67346192,四叶草0520,2018-08-14,5,中山,小兴演技真的升级了 黄渤真的厉害
189167265,王先生ovo,2018-08-14,5,苏州,非常不错哦，铁粉
225272623,安稳girls,2018-08-14,5,濮阳,自我感觉还好  很现实
243453321,wTE721622452,2018-08-14,5,呼和浩特,好看😏😏😏😏
1240625542,Oen617366886,2018-08-14,5,乌鲁木齐,勿忘初心，方得始终
284972463,wdM341823692,2018-08-14,5,大连,好看太好看了
56793292,李小波148,2018-08-14,5,北京,前面看着不像好片，后面的剧情发展却告诉了我们人性的必然，真挺不错
14925768,阿铭ki,2018-08-14,4.5,汕头,不能以喜剧去看这部剧，得用人性社会阶层去看。很有意思的一部，没有一定理解的人看这部剧我觉得多少会给低分
92277725,告别素颜,2018-08-14,5,郑州,不错不错。。
97379451,xVz922202978,2018-08-14,4.5,营口,不错。有些没看懂的，等视频app在看一下。
1008458888,PwE949423957,2018-08-14,4,兰州,"把团建发挥的淋漓致敬！
读懂得了人性，也就读懂了一切！"
103389949,Lenewmax0907,2018-08-14,3.5,益阳,一般的，前面可以，但是后面很狗血
60984126,美蓉1990,2018-08-14,4,沈阳,演员的表现力很不错哦，艺兴太让人意外了
1651176878,eUg326934380,2018-08-14,2.5,北京,其实可以改名为荒野求生
1812659454,！！！！！3761,2018-08-14,5,上饶,非常棒！很值得一看！
107637518,此刻暖阳,2018-08-14,5,平罗县,很好看！黄渤没让人失望，虽然是喜剧片，但是影片折射出的人性让人值得深思。
803581303,QyL572154175,2018-08-14,2.5,广汉,一般的的吧吧
1492431851,雪颖384,2018-08-14,5,长治,电影或许没有太过吸引人的剧情，没有大喜大悲，更重要是讲了人性，是可以从中学到一些道理，感悟一些真谛，名利和人性哪个重要?我想电影能给你答案。黄渤和艺兴的演技很不错，艺兴角色的颠覆让我觉得很赞。影片可能不是那么完美，但一定是用了心的，给满评
65097833,精神病李坚强室友,2018-08-14,5,运城,……~………………懒得写
1754850697,王华 13682526697,2018-08-14,4.5,深圳,点个赞、支持黄渤
117564166,Zuozihan,2018-08-14,3.5,吉安,说实话有点不值评分，演员演技都是不错的，剧情太拼凑了，所以不值
11905280,chinahuawei007,2018-08-14,5,常州,感觉不错………
80834009,Mr.Lee5058,2018-08-14,5,大同,黄渤的电影一如既往地支持，可以说每部电影都充满内涵，却不乏搞笑。【一出好戏】更是如此，从意外的千万彩票，再到平时工作中互帮互助的同事和领导，在饥饿和生死面前，这曾经一切的美好都化为虚无，直接的透露了人性阴暗和自私的一面。现实社会的压力和竞争，让一些渴望成功，在“假”世界里却颠倒黑白，无法自拔，欺骗着自己和身边人。世界虽是假的，好在真诚的爱情面前，得到醒悟，最终战胜了自己，重返大陆。
128379186,th信任,2018-08-14,5,西安,好看看好好看
458751357,Melody4849,2018-08-14,4.5,海口,还不错，挺好看的
1153280759,wed499348095,2018-08-14,1.5,温州,感觉意不应提
770296962,zHY750817380,2018-08-14,5,北流,看了好久，看不通
373266358,古力熙,2018-08-14,2.5,合肥,失望，可能是期望太高。内容一般，突出人性但实在无聊，不是主演演技好，真是看不下去
301261410,W1886683,2018-08-14,5,济南,好。。。。。。。
457007802,虎啸苍云,2018-08-14,5,益阳,电影非常好！
10526900,dingdingpray,2018-08-14,5,青岛,因为喜欢黄渤而看的，不过真的有些失望啊
619868850,是woll,2018-08-14,4,章丘区,不错的电影。
181303596,ATBR,2018-08-14,5,东港,不错值得推荐
1764770488,F苦鬼,2018-08-14,3.5,通榆县,还可以吧，不算是喜剧应该算是情景剧，挺有深意的
29442099,紫陌暹罗,2018-08-14,4.5,海口,这是一部惊悚电影，也是一部寓言电影；还是一部极简经济学电影。如果你说它是仅仅是一部不咋好笑的喜剧，那就太委屈它了。
118433656,辉驭,2018-08-14,4.5,潍坊,还可以，继续努力
102896598,司徒幽若,2018-08-14,3,昆明,反正我个人觉得不好看
1883586415,弥繁562,2018-08-14,5,南乐,激动的时候真激动，
909341151,DOUbleKKi,2018-08-14,3.5,芜湖,演员演技不错
600107283,青春拜了个拜,2018-08-14,4,周口,不错，渤哥的作品基本没让人失望过。
67593997,付丙巧,2018-08-14,5,新乡,挺好的，准备二刷，迟了十几分钟，看的时候已经到岛上了
106038401,Mr.zzSssZ,2018-08-14,5,荣昌区,评论必须六个字。
185577339,qxO490170033,2018-08-14,5,荆门,还可以，挺好看的
244498278,wVW901755696,2018-08-14,4.5,大邑,好看，挺有深度的电影
261986313,shilin135272,2018-08-14,5,中山,一般般吧，没有太大的感受
38081377,caiin,2018-08-14,5,福州,人性，当一个人想要的太多时，真的很可怕，其实这就是演绎一个当今的现实社会。人生短暂，如果可以做一个对社会有贡献的人。如果没有，那就做一个善良的人。
888666219,小小小梅嘻,2018-08-14,5,恩施,有笑点 有泪点  有看点  黄渤果然没让人失望  很现实的一部电影  好看
169371518,Swanna_,2018-08-14,5,北京,非常好看 充满惊喜
1611077201,花落蝶相守,2018-08-14,4,镇江,挺好看的，继续加油＾０＾~
896182133,夏珂萱303,2018-08-14,5,杭州,看完感觉挺有新沂感的    勃哥的电影一直都都说力挺的
506920358,m萌m萌mm,2018-08-14,4,乐山,还可以，后面要好看一点
505816659,ytY794317353,2018-08-14,5,唐山,很好看，值得深思的一部电影。
256275797,街尾的黑猫,2018-08-14,5,阜阳,有点恐怖，张艺兴的转变很值得去看
141987182,藤蔓莎莎l,2018-08-14,5,上海,可以的，有深度
287039045,bxwyz88,2018-08-14,5,淮安,笑中见泪，很符合现实，秒懂！👍
376391040,NQR786182921,2018-08-14,5,射阳,很好看哦(´-ω-`)
39743784,芊里日京川,2018-08-14,3,西安,反应人性的部分还不错，就是前面的设定稍微有点尴尬，陨石啊、世界毁灭什么的，跟开玩笑一样，这帮人就信了。。
35507296,加勒比糖僧,2018-08-14,1.5,宜昌,感觉拍的有点造作，说实话很一般。音乐很赞，我说的是配乐～里面的歌简直就是乱七八糟……
100528413,李东辉003号,2018-08-14,5,岳阳,特别好看，感觉特别戏剧性。而且，黄勃演的特别好，把人物内心是纠结演的淋漓极致。
748614193,橙汁,2018-08-14,4.5,新洲区,为什么有人过度解读了，一切都是马进幻想的
846541985,北不朽.,2018-08-14,5,伊宁,很温暖的电影
161254232,刃在心上,2018-08-14,5,保山,短短两个小时的电影，却将人性的丑恶和美好一一作了展示：爱情、幻想、自私、善变、恐惧、贪欲、虚伪、希望、情义、欺骗、真诚、意外、无奈和信任...
92665809,hzs1993,2018-08-14,5,佛山,不错啊，一出好戏！
1821504478,IvO723588899,2018-08-14,4.5,随州,可以可以可以
187974291,A这孩子疯了,2018-08-14,4.5,北海,一般般，没有很好看
200555941,Rin和haru,2018-08-14,5,韶关,无比心疼小兴这个角色，特别在最后彩蛋里面。失忆最后到底是好还是不好呢？感谢渤哥拍出了这么好的一部戏，真的是一出好戏！
1032001041,oub698191772,2018-08-14,5,西安,反应人性的一部电影  渤导很用心的一部电影 演员演技都很到位 👍
224896315,vsA355515175,2018-08-14,5,淄博,一部经典大片
113808726,clj742437919,2018-08-14,4,福州,这不是一部喜剧，看得到里面意义的人应该会觉得很好看，层次感很强，第一次拍还是很不错的
49677986,妙戚,2018-08-14,4.5,武汉,没有看懂，想最终讲的是人性吧
316627169,Defchuuu,2018-08-14,5,南通,很棒！！！！
749598005,GpC316169523,2018-08-14,5,孝感,还可以  剧情不错
59750454,yyh3070,2018-08-14,4,成都,感觉黄渤还是适合演电影，自己拍的不咋地
1108938832,ZPp934692428,2018-08-14,5,太仓,好，很好，非常好，特别好看
1858730301,无敌晕晕,2018-08-14,4,长沙,好看好看好看
511887985,少女的小日子,2018-08-14,0.5,长沙,不好看，8月出烂片吗？竟然不能给0分？
228471241,女王,2018-08-14,4.5,宜都,一出好戏：：：
177601006,小喵咪喵,2018-08-14,5,九江,电影不错，值得看看
